Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
IndusInd Bank,Punjab,Muktsar,Kheowli,"Ground Floor,Main Bus Stand Road, Kheowali The & Distt. Sh. Muktsar Sahib, Punjab- 152113, Punjab",152113,30.047357,74.626856
IndusInd Bank,Maharashtra,Thane,"Majiwada, Thane, Mumbai","Ground Floor, ACE BUSINESS CENTRE, Next to Navneet Motors, LBS Marg, Gokul Nagar, Majiwada, Thane- (W), Mumbai, Maharashtra - 400604, Mumbai",400604,19.210024,72.977437
IndusInd Bank,Telangana,Rangareddy,Hastinapuram Hyderabad,"8-7-92, LKC, 3-A, Nagarjuna Sagar Road, Hastinapuram, Hyderabad, Telangana 500079",500079,17.330211,78.552754
IndusInd Bank,Chhattisgarh,Durg,"Nehru Nagar, Bhilai","Shyam Shakuntal Complex, Near Krishna Public School, Main Road, Plot No. 04, Block No. 2, Nehru Parisar, Ward No. 2, Nehru Nagar, P.O & P.S. Bhilai, Tehsil & Dist: Durg, Chattisgarh 490020",490020,21.199741,81.324102
IndusInd Bank,Rajasthan,Banswara,Banswara,"Ground Floor,  Plot No.  174/A, B, C & D, Mohan Colony, Udaipur Road, Banswara, Rajasthan 327001, Rajasthan",327001,23.55793,74.43133
IndusInd Bank,Tamil Nadu,Tirupur,Tirupur,"NO.1&32-A, K.M.A.Buildings, Easwaran Koil North Street, Tirupur-641604, Tamil Nadu",641604,11.11897,77.34247
IndusInd Bank,Maharashtra,Pune,Ranjangaon Ganpati,"Ground Floor, Mauli Complex, Ranjangaon-Ganpati, Taluka Shirur, District Pune Pin code 412209 Maharashtra",412209,18.755906,74.248955
IndusInd Bank,Bihar,Sitamarhi,Specialised Br Sitamarhi,"2nd Floor, Plot No. 906, Ramjanki Palace,  Dumra Road, Rajopatti Near IB, Sitamarhi, Bihar 843302",843302,26.583725,85.505795
IndusInd Bank,Jharkhand,Latehar,"Latehar, Jharkhand","Ground Floor, Khasra No. 724, Plot No. 570, By-Pass Chowk, PO: Latehar, Jharkhand Pin code- 829206",829206,23.745048,84.497064
IndusInd Bank,Maharashtra,NAGPUR,Kamptee,"Ground Floor, N/565, Kiranaoli, Near Bank of India, Kamptee, District Nagpur, PIN: 441001, Maharashtra",441001,21.217438,79.196096
IndusInd Bank,Odisha,Baleshwar,Balasore,"Motilal Didwani Bldg., FM Circle, Orissa Trunk Road - 756001, Orissa",756001,21.50097,86.92383
IndusInd Bank,Haryana,Gurgaon,"Palam Vihar, Gurgaon","Ground Floor Shop No - G-18 and  Upper Ground floor Shop No UG-122,  Palam Corporate Plaza, Palam Vihar, Gurgaon-122017,Haryana  , Haryana",122017,28.49728,77.02135
IndusInd Bank,Karnataka,Bellary,Toranagal,"Ground Floor, Shop No.G10/B, Shankar Godda Square Shopping Complex, Shankar Hill Township, Village: Torangallu, Taluk: Sandur, Dist. Bellary Torangallu 583275 Karnataka",583275,15.19708,76.66434
IndusInd Bank,Maharashtra,Pune,Kondhavekhurd,"Ground floor, S. No.1-A (Part), Aditya Business Centre, NIBM Road, Kondhwa Khurd, Pune - 411 048, Maharashtra",,18.47872,73.89034
IndusInd Bank,Maharashtra,Thane,"Waghle Estate, Thane","Ground Floor, Unit No. 2 & 3 in the building known as Odyssey IT Park, behind old passport office, Plot No. A-123, A-124 and A-299, Road No. 9, Ambika Nagar, Wagle Estate, Thane  (West), MAHARASHTRA 400604",400604,19.200629,72.956926
IndusInd Bank,Jharkhand,Ranchi,"Katamkuli, Ranchi","Ground Floor, Plot No.3457,  Survey No.67, Thana 15,  Mouza Katamkuli, Ranchi, Jharkhand, 835222",835222,23.490866,85.219177
IndusInd Bank,Karnataka,Bangalore Urban,"Sahakaranagar, Bangalore","Ground floor, No. 61, G Block, Sahakaranagar Main Road, Sahakaranagar, Bangalore, Karnataka, Karnataka",,12.9716,77.59456
IndusInd Bank,Uttar Pradesh,Lucknow,"Vibhutikhand, Lucknow","Cyber Heights, Ground Floor,  Vibhutikhand, Lucknow, Uttar Pradesh – 226010",226010,26.8686,81.006499
IndusInd Bank,KARNATAKA,Mangalore,"Attavar, Mangalore","INDUSIND BANK LIMITED, NFORCE ELANZA, ATTAVAR, MANGALORE, KARNATAKA – 575001",575001,12.8650907,74.8474073
